population,environment,sigma_obs,reward_mode,method,dataset_sha256,source
Egyptian vulture,theta,0.1,safe,refplan,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted frozen general-RL P=10
Egyptian vulture,theta,0.1,safe,ogsrl,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted frozen general-RL P=10
Egyptian vulture,theta,0.1,safe,bamcts,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted frozen general-RL P=10
Egyptian vulture,theta,0.1,safe,ensemble_value_disagreement_pessimism,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted frozen general-RL P=10
Egyptian vulture,theta,0.1,safe,plus_adapted_ricker_only_pbvi,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted P=10 ecological correction
Egyptian vulture,theta,0.1,safe,moor_adapted_ricker_misspec_pbvi,70192fdb200123d2cdc1ac8672bcf39367024e95b24b9560fc101caf5fcc3c32,accepted P=10 ecological correction
Egyptian vulture,theta,0.2,safe,refplan,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted frozen general-RL P=10
Egyptian vulture,theta,0.2,safe,ogsrl,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted frozen general-RL P=10
Egyptian vulture,theta,0.2,safe,bamcts,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted frozen general-RL P=10
Egyptian vulture,theta,0.2,safe,ensemble_value_disagreement_pessimism,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted frozen general-RL P=10
Egyptian vulture,theta,0.2,safe,plus_adapted_ricker_only_pbvi,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted P=10 ecological correction
Egyptian vulture,theta,0.2,safe,moor_adapted_ricker_misspec_pbvi,eaf5c82743bedaac1fa4a8d7cc2fee2439f3084f5e7137730ec5ef2dda82f71f,accepted P=10 ecological correction
Egyptian vulture,regime,0.1,safe,refplan,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,regime,0.1,safe,ogsrl,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,regime,0.1,safe,bamcts,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,regime,0.1,safe,ensemble_value_disagreement_pessimism,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,regime,0.1,safe,plus_adapted_ricker_only_pbvi,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted P=10 ecological correction
Egyptian vulture,regime,0.1,safe,moor_adapted_ricker_misspec_pbvi,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted P=10 ecological correction
Egyptian vulture,regime,0.2,safe,refplan,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,regime,0.2,safe,ogsrl,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,regime,0.2,safe,bamcts,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,regime,0.2,safe,ensemble_value_disagreement_pessimism,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,regime,0.2,safe,plus_adapted_ricker_only_pbvi,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted P=10 ecological correction
Egyptian vulture,regime,0.2,safe,moor_adapted_ricker_misspec_pbvi,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted P=10 ecological correction
