population,environment,sigma_obs,action,reward,return_mean,return_sd,current_parity_delta
Amur tiger,theta,0.2,9,Current,-7.412718767042788,0.06536207757602329,0.0
Amur tiger,theta,0.2,9,OptionA,-7.412718767042788,0.06536207757602329,0.0
Amur tiger,theta,0.2,9,OptionC,-7.805866639820681,0.06536218211215619,0.0
Amur tiger,theta,0.2,10,Current,4.264204637374474,9.112518314015307e-16,0.0
Amur tiger,theta,0.2,10,OptionA,4.264204637374474,9.112518314015307e-16,0.0
Amur tiger,theta,0.2,10,OptionC,3.867617759461237,9.112518314015307e-16,0.0
Amur tiger,regime,0.1,0,Current,0.9168613941103139,2.278129578503827e-16,4.440892098500626e-16
Amur tiger,regime,0.1,0,OptionA,4.938492770324094,9.112518314015307e-16,4.440892098500626e-16
Amur tiger,regime,0.1,0,OptionC,0.4781833514997591,1.1390647892519134e-16,4.440892098500626e-16
Amur tiger,regime,0.1,1,Current,-95.16203290609954,0.0,0.0
Amur tiger,regime,0.1,1,OptionA,-71.93807276162754,1.4580029302424492e-14,0.0
Amur tiger,regime,0.1,1,OptionC,-95.606471638208,1.4580029302424492e-14,0.0
Amur tiger,regime,0.1,2,Current,-144.73144628609626,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,regime,0.1,2,OptionA,-129.9488691671605,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,regime,0.1,2,OptionC,-145.17589073053767,5.832011720969797e-14,8.526512829121202e-14
Amur tiger,regime,0.1,3,Current,4.081891793229677,0.10630968568918217,0.0
Amur tiger,regime,0.1,3,OptionA,4.081891793229677,0.10630968568918217,0.0
Amur tiger,regime,0.1,3,OptionC,3.675715843652312,0.10640210223534541,0.0
Amur tiger,regime,0.1,4,Current,-0.2839357853860137,0.11289165711465428,5.551115123125783e-17
Amur tiger,regime,0.1,4,OptionA,-0.2839357853860137,0.11289165711465428,5.551115123125783e-17
Amur tiger,regime,0.1,4,OptionC,-0.6899121843220681,0.11289795775318363,5.551115123125783e-17
Amur tiger,regime,0.1,5,Current,-2.5445949486020085,4.556259157007654e-16,0.0
Amur tiger,regime,0.1,5,OptionA,1.477036427611773,2.278129578503827e-16,0.0
Amur tiger,regime,0.1,5,OptionC,-2.9832729912125635,4.556259157007654e-16,0.0
Amur tiger,regime,0.1,6,Current,-8.313688853122548,1.8225036628030615e-15,1.7763568394002505e-15
Amur tiger,regime,0.1,6,OptionA,-4.292057476908765,0.0,1.7763568394002505e-15
Amur tiger,regime,0.1,6,OptionC,-8.752366895733102,0.0,1.7763568394002505e-15
Amur tiger,regime,0.1,7,Current,1.907130856190309,0.3984623918434749,6.661338147750939e-16
Amur tiger,regime,0.1,7,OptionA,1.907130856190309,0.3984623918434749,6.661338147750939e-16
Amur tiger,regime,0.1,7,OptionC,1.5137667395884207,0.3987113052861568,6.661338147750939e-16
Amur tiger,regime,0.1,8,Current,-3.67279094933856,0.4537111647123662,4.440892098500626e-16
Amur tiger,regime,0.1,8,OptionA,-3.67279094933856,0.4537111647123662,4.440892098500626e-16
Amur tiger,regime,0.1,8,OptionC,-4.066115879659921,0.45393434255024323,4.440892098500626e-16
Amur tiger,regime,0.1,9,Current,-7.3074681953167655,0.42733722896702414,1.7763568394002505e-15
Amur tiger,regime,0.1,9,OptionA,-7.3074681953167655,0.42733722896702414,1.7763568394002505e-15
Amur tiger,regime,0.1,9,OptionC,-7.700616085395483,0.4273373735736412,1.7763568394002505e-15
